运行模式,场景,风电场景,光伏场景,日氨产量(t/day),新能源发电量(MWh),弃电量(MWh),弃电率(%),常规负荷需求量(MWh),常规负荷失供量(MWh),常规负荷供电保障率(%),园区终端用电量(MWh),本地电力自给率(%),新能源利用率(%),碱性电解槽利用率(%),PEM电解槽利用率(%),制氢装置平均利用率(%),合成氨装置利用率(%),储能容量(MWh),充电量(MWh),放电量(MWh),购电量(MWh),售电量(MWh),风电发电成本(¥/day),光伏发电成本(¥/day),碱性电解槽运维成本(¥/day),PEM电解槽运维成本(¥/day),合成氨装置运维成本(¥/day),合成氨装置资本分摊(¥/day),储能运维成本(¥/day),储能资本分摊(¥/day),购电成本(¥/day),售电收入(¥/day),日净成本(¥/day),净吨氨成本(¥/t),C-rate,日自损耗率(%),是否最优容量
离网配置储能,风电4-光伏1,4,1,47.14851243365332,876.924,172.892552118078,19.715796593328268,60.72,0.0,100.0,703.6791666565482,100.0,80.28420340667172,50.047508365092,78.99101464318333,65.48404504674072,65.48404504674073,0.64083598,1.8513416372849747,1.4990604119113597,0.0,0.0,55122.6,61132.8,24022.80401524416,56873.530543092005,47.14851243365332,3287.671232876712,14.990604119113598,117.04766757990868,0.0,0.0,200618.59257534554,4255.035466021393,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,47.14861467687752,876.924,172.89020788682134,19.715529268992675,60.72,0.0,100.0,703.680495818463,100.0,80.28447073100733,50.04750836509215,78.99128090157956,65.48418705121877,65.48418705121878,0.64268277,1.856676919663402,1.5033806249478086,0.0,0.0,55122.6,61132.8,24022.80401524423,56873.72224913728,47.14861467687752,3287.671232876712,15.033806249478086,117.3849808219178,0.0,0.0,200619.1648990065,4255.038377562205,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,47.14871692010173,876.924,172.88786365556496,19.715261944657115,60.72,0.0,100.0,703.6818249803775,100.0,80.28473805534288,50.04750836509212,78.99154715997594,65.48432905569682,65.48432905569683,0.64452956,1.862012202040629,1.507700837983279,0.0,0.0,55122.6,61132.8,24022.80401524422,56873.91395518268,47.14871692010173,3287.671232876712,15.07700837983279,117.72229406392692,0.0,0.0,200619.73722266746,4255.041289090388,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,47.14881916332593,876.924,172.88551942430794,19.71499462032148,60.72,0.0,100.0,703.6831541422923,100.0,80.28500537967852,50.0475083650921,78.99181341837235,65.48447106017488,65.48447106017491,0.64637635,1.8673474844208549,1.5120210510211793,0.0,0.0,55122.6,61132.8,24022.804015244208,56874.10566122808,47.14881916332593,3287.671232876712,15.120210510211793,118.05960730593608,0.0,0.0,200620.30954632847,4255.044200605946,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,47.14881916332593,876.924,172.88551942430794,19.71499462032148,60.72,0.0,100.0,703.6831541422923,100.0,80.28500537967852,50.0475083650921,78.99181341837235,65.48447106017488,65.48447106017491,0.64637635,1.8673474844208549,1.5120210510211793,0.0,0.0,55122.6,61132.8,24022.804015244208,56874.10566122808,47.14881916332593,3287.671232876712,15.120210510211793,118.05960730593608,0.0,0.0,200620.30954632847,4255.044200605946,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,47.14881916332593,876.924,172.88551942430794,19.71499462032148,60.72,0.0,100.0,703.6831541422923,100.0,80.28500537967852,50.0475083650921,78.99181341837235,65.48447106017488,65.48447106017491,0.64637635,1.8673474844208549,1.5120210510211793,0.0,0.0,55122.6,61132.8,24022.804015244208,56874.10566122808,47.14881916332593,3287.671232876712,15.120210510211793,118.05960730593608,0.0,0.0,200620.30954632847,4255.044200605946,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,47.14933037944695,876.924,172.87379826802555,19.71365799864362,60.72,0.0,100.0,703.6897999518656,100.0,80.28634200135639,50.04750836509217,78.99314471035409,65.4851810825652,65.4851810825652,0.6556103,1.894023896308794,1.533622116200005,0.0,0.0,55122.6,61132.8,24022.80401524424,56875.06419145494,47.14933037944695,3287.671232876712,15.33622116200005,119.74617351598172,0.0,0.0,200623.1711646333,4255.058757994318,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,47.14984159556798,876.924,172.86207711174256,19.712321376965683,60.72,0.0,100.0,703.6964457614388,100.0,80.28767862303432,50.04750836509204,78.99447600233604,65.48589110495551,65.48589110495553,0.66484425,1.9207003081997316,1.555223181381247,0.0,0.0,55122.6,61132.8,24022.80401524418,56876.02272168195,47.14984159556798,3287.671232876712,15.552231813812469,121.43273972602739,0.0,0.0,200626.03278293824,4255.0733150670185,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,47.15035281113537,876.924,172.85035596815328,19.71098475673528,60.72,0.0,100.0,703.703091563815,100.0,80.28901524326471,50.04750836509208,78.9958072928761,65.4866011265769,65.4866011265769,0.67407819,1.947376691200423,1.5768242231687812,0.0,0.0,55122.6,61132.8,24022.804015244197,56876.981250870784,47.15035281113537,3287.671232876712,15.768242231687813,123.11930410958905,0.0,0.0,200628.89439814416,4255.087871808293,0.5,0.2,False
离网配置储能,风电4-光伏1,4,1,47.15086402725639,876.924,172.83863481187035,19.709648135057357,60.72,0.0,100.0,703.7097373733882,100.0,80.29035186494265,50.04750836509215,78.99713858485785,65.48731114896718,65.48731114896721,0.68331214,1.9740531030913604,1.5984252883500365,0.0,0.0,55122.6,61132.8,24022.80401524423,56877.93978109766,47.15086402725639,3287.671232876712,15.984252883500364,124.8058703196347,0.0,0.0,200631.756016449,4255.102428249677,0.5,0.2,False
