场景,风电场景,光伏场景,日氨产量(t/day),购电量(MWh)_问题二,售电量(MWh)_问题二,最大购电功率(MW)_问题二,最大反送功率(MW)_问题二,交换功率峰谷差(MW)_问题二,最大爬坡功率(MW/h)_问题二,交换功率标准差(MW)_问题二,购电量(MWh)_问题三,售电量(MWh)_问题三,最大购电功率(MW)_问题三,最大反送功率(MW)_问题三,交换功率峰谷差(MW)_问题三,最大爬坡功率(MW/h)_问题三,交换功率标准差(MW)_问题三,购电量(MWh)_变化,售电量(MWh)_变化,最大购电功率(MW)_变化,最大反送功率(MW)_变化,交换功率峰谷差(MW)_变化,最大爬坡功率(MW/h)_变化,交换功率标准差(MW)_变化
风电1-光伏3,1,3,45,426.558,80.78200000000001,39.7882,19.376200000000004,59.16440000000001,43.108200000000004,19.12417444097624,329.3897362637362,3.552713678800501e-15,39.7882,3.552713678800501e-15,39.7882,34.285999999999994,13.678230776674743,-97.16826373626378,-80.78200000000001,0.0,-19.3762,-19.376200000000004,-8.82220000000001,-5.445943664301497
风电1-光伏3,1,3,54,526.3,56.02400000000001,39.7882,15.4638,55.252,41.7158,17.860785027508978,462.46116480618514,4.440892098500626e-15,39.78820000000001,3.552713678800501e-15,39.78820000000002,37.4301997890278,14.82885709419901,-63.838835193814816,-56.024,7.105427357601002e-15,-15.463799999999997,-15.463799999999985,-4.2856002109721985,-3.0319279333099676
风电1-光伏3,1,3,63,605.3822,10.606200000000001,39.7882,5.098000000000001,44.8862,41.330200000000005,12.12486899099899,586.2045714285714,0.0,39.78820000000001,-0.0,39.78820000000001,20.915799999999997,12.204987632390557,-19.177628571428613,-10.606200000000001,7.105427357601002e-15,-5.098000000000001,-5.097999999999992,-20.414400000000008,0.08011864139156621
风电1-光伏3,1,3,72,719.2760000000001,0.0,39.7882,0.0,24.198400000000007,13.586000000000002,6.448802870731557,719.2760000000001,0.0,39.7882,0.0,24.198400000000007,13.586000000000002,6.448802870731557,0.0,0.0,0.0,0.0,0.0,0.0,0.0
风电1-光伏4,1,4,36,361.2504,75.3344,39.7882,19.5102,59.2984,43.108200000000004,18.77624823544067,275.91600000000005,3.552713678800501e-15,39.78820000000001,3.552713678800501e-15,39.78820000000002,34.3722,14.43327226695046,-85.33439999999996,-75.3344,7.105427357601002e-15,-19.510199999999998,-19.510199999999983,-8.736000000000004,-4.342975968490208
风电1-光伏4,1,4,45,472.82820000000004,62.4122,39.7882,19.5102,59.2984,42.0738,19.303632103369104,398.9428955803731,3.552713678800501e-15,39.78820000000001,3.552713678800501e-15,39.78820000000002,31.371999999999986,13.532421985213718,-73.88530441962695,-62.4122,7.105427357601002e-15,-19.510199999999998,-19.510199999999983,-10.701800000000013,-5.771210118155386
风电1-光伏4,1,4,54,565.34,30.424,39.7882,8.198,47.986200000000004,42.0738,16.52138102981171,529.9159999669471,3.552713678800501e-15,39.78820000000001,3.552713678800501e-15,39.78820000000002,38.1738,15.05081106802904,-35.42400003305295,-30.423999999999996,7.105427357601002e-15,-8.197999999999997,-8.197999999999986,-3.8999999999999986,-1.4705699617826706
风电1-光伏4,1,4,63,668.7422,9.3262,39.7882,3.818000000000001,43.6062,42.0738,12.534918057791826,650.8445715125722,0.0,39.78820000000001,0.0,36.42840000000001,19.2038,9.599326126454995,-17.897628487427824,-9.3262,7.105427357601002e-15,-3.818000000000001,-7.177799999999991,-22.869999999999997,-2.9355919313368304
风电1-光伏4,1,4,72,783.916,0.0,39.7882,0.0,17.798400000000004,12.306000000000004,5.308682931345171,783.9159999999999,0.0,39.7882,0.0,17.798400000000004,12.306000000000004,5.308682931345171,-1.1368683772161603e-13,0.0,0.0,0.0,0.0,0.0,0.0
风电2-光伏1,2,1,36,263.2564,363.44039999999995,39.2842,55.432,94.7162,50.650000000000006,30.338499359431445,263.2563995013251,373.44039956155154,39.2842,55.432,94.7162,39.8482,31.89707509396164,-4.986748649571382e-07,9.99999956155159,0.0,0.0,0.0,-10.801800000000007,1.5585757345301943
风电2-光伏1,2,1,45,263.2564,238.94039999999998,39.2842,37.8582,77.1424,50.650000000000006,24.760079505773447,263.2563997183109,252.45166345457477,39.2842,39.6182,78.9024,39.8482,26.25771542602371,-2.8168909693704336e-07,13.511263454574788,0.0,1.7600000000000051,1.7600000000000051,-10.801800000000007,1.4976359202502643
风电2-光伏1,2,1,54,284.6024,135.7864,39.2842,27.7882,67.0724,39.8482,20.836988987108693,263.2563996159118,119.38023478074712,39.2842,28.583799999999997,67.868,39.8482,20.49604680695601,-21.3460003840882,-16.40616521925287,0.0,0.7955999999999968,0.7955999999999932,0.0,-0.34094218015268396
风电2-光伏1,2,1,63,380.75019999999995,107.43419999999998,41.638200000000005,18.9182,60.556400000000004,42.10620000000001,21.462662240867406,360.77759338574776,90.07999999999998,41.638200000000005,18.9182,60.556400000000004,42.10620000000001,20.666954157854757,-19.972606614252186,-17.35419999999999,0.0,0.0,0.0,0.0,-0.7957080830126486
