场景,日氨产量(t/day),问题二日净成本(¥/day),问题二净吨氨成本(¥/t),问题二购电量(MWh),问题二售电量(MWh),问题二新能源自发自用比例(%),问题二新能源供电占比(%),问题二上网电量比例(%),问题二达标指标数,问题二达标状态,问题三日净成本(¥/day),问题三净吨氨成本(¥/t),问题三购电量(MWh),问题三售电量(MWh),问题三新能源自发自用比例(%),问题三新能源供电占比(%),问题三上网电量比例(%),问题三达标指标数,问题三达标状态,日成本节约(¥/day),相对成本节约率(%),吨氨成本下降(¥/t),购电量变化(MWh),售电量变化(MWh),新能源自发自用比例(%)变化,新能源供电占比(%)变化,上网电量比例(%)变化,达标指标数变化
风电2-光伏3,45,327868.1414328767,7285.9586985083715,526.4464,77.8104,33.66094874330731,22.946283773894205,33.16952562834635,0,全部不达标,305549.09519280633,6789.979893173474,435.38831316142966,0.46800000000000574,99.60099580534047,34.96855739352801,0.19950209732974364,3,全部达标,22319.04624007037,6.807323865786354,495.9788053348975,-91.05808683857038,-77.3424,65.94004706203316,12.022273619633804,-32.97002353101661,3
风电2-光伏3,36,239544.7754328767,6654.02153980213,411.9984,87.86240000000001,25.090884288783567,26.260309278350512,37.45455785560823,0,全部不达标,216246.78165090916,6006.855045858588,314.60399999018273,0.4680000000000075,99.60099580534053,42.66584050229418,0.19950209732974436,3,全部达标,23297.993781967525,9.725945280946402,647.1664939435423,-97.39440000981728,-87.3944,74.51011151655696,16.40553122394367,-37.25505575827849,3
风电2-光伏4,72,670961.2626328768,9318.906425456622,886.7760000000001,0.0,99.99999999999984,16.082216670451967,0.0,2,部分达标,670961.2626328768,9318.906425456622,886.776,0.0,100.00000000000004,16.082216670451967,0.0,2,部分达标,0.0,0.0,0.0,-1.1368683772161603e-13,0.0,1.9895196601282805e-13,0.0,0.0,0
风电2-光伏4,63,557477.9997328768,8848.857138617092,765.6318,3.3558,96.05069905380594,17.870052133616532,1.97465047309702,2,部分达标,551318.6055423347,8751.088976862457,753.7045715232767,0.0,99.9999999999999,18.399205632909627,0.0,2,部分达标,6159.394190542051,1.1048676707409815,97.768161754635,-11.927228476723258,-3.3558,3.949300946193958,0.5291534992930949,-1.97465047309702,0
风电2-光伏4,54,447605.7885328768,8288.996083942162,652.9942,15.2182,82.09033563997554,19.15587084633289,8.954832180012238,2,部分达标,438383.6626738986,8118.2159754425675,632.7759999613803,0.0,100.00000000000004,21.171018537992847,0.0,2,部分达标,9222.125858978194,2.0603231895650125,170.78010849959446,-20.21820003861967,-15.2182,17.909664360024507,2.0151476916599584,-8.954832180012238,0
风电2-光伏4,45,349973.3574328767,7777.185720730594,550.1264,36.8504,56.63230240549828,19.480343081291533,21.683848797250857,0,全部不达标,339766.93478601484,7550.376328578108,506.6960087912088,1.6838000000000002,98.01840606317369,24.929054330997307,0.9907969684131244,2,部分达标,10206.422646861873,2.916342752982109,226.809392152486,-43.43039120879121,-35.1666,41.386103657675406,5.448711249705774,-20.69305182883773,2
风电2-光伏4,36,259793.38233287676,7216.48284257991,427.5886,38.8126,54.32307112931321,23.46996706758305,22.838464435343404,0,全部不达标,248465.37773287672,6901.816048135464,382.13179999999994,3.3558,96.05069905380591,30.359418282548482,1.9746504730970198,3,全部达标,11328.004600000044,4.360389975401806,314.66679444444526,-45.456800000000044,-35.4568,41.7276279244927,6.889451214965433,-20.863813962246383,3
风电3-光伏1,72,380328.0331328768,5282.333793512177,402.2482,126.3682,67.6327544695456,61.93426830191536,16.18362276522719,3,全部达标,380328.03313287674,5282.333793512177,402.2482,126.3682,67.63275446954563,61.93426830191535,16.18362276522719,3,全部达标,5.820766091346741e-11,1.5304593888069026e-14,0.0,0.0,0.0,2.842170943040401e-14,-7.105427357601002e-15,0.0,0
风电3-光伏1,63,279660.5950328767,4439.057064013916,311.2944,159.9144,59.04041801137237,66.60719572633069,20.479790994313817,1,部分达标,270387.836385666,4291.870418820095,273.4381945054946,126.6302,67.56564725167767,70.52349639894844,16.217176374161163,3,全部达标,9272.758647210721,3.315718700419922,147.18664519382037,-37.85620549450539,-33.2842,8.525229240305308,3.9163006726177514,-4.262614620152654,2
风电3-光伏1,54,198908.4340328767,3683.4895191273463,229.8364,202.9564,48.01588033399927,71.54504036052096,25.992059833000365,1,部分达标,196297.0101483712,3635.1298175624293,223.32619971831215,205.18218872930103,47.445779230238955,72.04872730283162,26.27711038488052,1,部分达标,2611.4238845055224,1.3128774037172761,48.35970156491703,-6.510200281687844,2.22578872930103,-0.5701011037603152,0.5036869423106651,0.28505055188015405,0
